,input_text,locations,loc_spans,coord_points,input_order
0,1428655547205570560,,,,0
1,1429075366992302080,,,,1
2,1429030266597781504,Aleksanterin teatterissa,"(98, 122)","(24.93319, 60.16339)",2
2,1429030266597781504,Helsingissä,"(123, 134)","(24.93545, 60.16952)",2
3,1428800175359856640,,,,3
4,1428636939687706624,Kanadassa,"(112, 121)","(-113.64258, 60.10867)",4
4,1428636939687706624,Englannin kanaalissa,"(125, 145)","(-1.0, 50.0)",4
5,1429117383214567424,,,,5
6,1428620721970888704,,,,6
7,1429047004215357440,Helsingissä,"(12, 23)","(24.93545, 60.16952)",7
8,1429052340565385216,,,,8
9,1428725432640282624,Suomen,"(0, 6)","(26.0, 64.0)",9
10,1428734309230432256,,,,10
11,1428752900071776256,,,,11
12,1429077198594584576,,,,12
13,1429068209370632192,,,,13
14,1429143852057866240,Ruotsissa,"(39, 48)","(15.0, 62.0)",14
14,1429143852057866240,Suomeen,"(114, 121)","(26.0, 64.0)",14
15,1428647158010499072,,,,15
16,1428659051236319232,,,,16
17,1428689943799472128,,,,17
18,1428931383347478528,Kerimäellä,"(13, 23)","(29.28228, 61.91069)",18
19,1428821645892988928,,,,19
20,1429017279883251712,Qatarista,"(192, 201)","(51.25, 25.5)",20
20,1429017279883251712,Saudi-Arabiasta,"(203, 218)","(45.0, 25.0)",20
20,1429017279883251712,Pakistanista,"(220, 232)","(70.0, 30.0)",20
20,1429017279883251712,Arabiemiraateista,"(236, 253)","(54.5, 23.75)",20
21,1428670028195434496,,,,21
22,1429080469484838912,Suomeen,"(20, 27)","(26.0, 64.0)",22
22,1429080469484838912,Suomen,"(125, 131)","(26.0, 64.0)",22
22,1429080469484838912,Norrvalla,"(152, 161)","(22.27093, 63.1541)",22
23,1429095778753159168,,,,23
24,1428686524791640064,,,,24
25,1428647051122909184,,,,25
26,1428807759605153792,,,,26
27,1428685251707031552,Kansallisoopperan,"(0, 17)","(24.92976, 60.1815)",27
28,1429082271768776704,,,,28
29,1428678052125495296,,,,29
30,1428684957430468608,Suomen,"(67, 73)","(26.0, 64.0)",30
31,1428654736274862080,Vantaalla,"(31, 40)","(25.04099, 60.29414)",31
32,1428647565055205376,Pirkanmaalla,"(69, 81)","(23.71667, 61.7)",32
33,1429068902294818816,,,,33
34,1429061232770887680,,,,34
35,1428656050929012736,,,,35
36,1429018287438974976,,,,36
37,1428997844455809024,,,,37
38,1428625411181793280,,,,38
39,1428771362626211840,,,,39
40,1428822410913013760,,,,40
41,1428619640796848128,Lapissa,"(24, 31)","(26.5, 67.75)",41
42,1429045988786950144,,,,42
43,1429050249608376320,Belgiaan,"(87, 95)","(4.5, 50.75)",43
43,1429050249608376320,Saksaan,"(97, 104)","(10.5, 51.5)",43
43,1429050249608376320,Ranskaan,"(111, 119)","(2.0, 46.0)",43
43,1429050249608376320,Kanadaan,"(217, 225)","(-113.64258, 60.10867)",43
44,1428800761635516416,,,,44
45,1428921043486494720,,,,45
46,1428672422727802880,,,,46
47,1428968246015823872,,,,47
48,1429003411668848640,,,,48
49,1428746422137020416,Porissa,"(0, 7)","(21.78333, 61.48333)",49
50,1428632317837430784,Rovaniemen raviradalla,"(42, 64)","(25.602, 66.512)",50
51,1429085331232641024,Liettuan,"(65, 73)","(24.0, 55.41667)",51
51,1429085331232641024,Vilnassa,"(74, 82)","(25.2798, 54.68916)",51
52,1429104155659018240,,,,52
53,1429041699226099712,,,,53
54,1429145919430221824,,,,54
55,1428659333903028224,,,,55
56,1429100241488318464,Porvoon,"(0, 7)","(25.66507, 60.39233)",56
56,1429100241488318464,Linnanmäki,"(46, 56)","(25.65202471317254, 60.400113780260185)",56
56,1429100241488318464,Uudenmaan,"(65, 74)","(24.75, 60.41667)",56
57,1428727854309728256,,,,57
58,1429051577629880320,,,,58
59,1429090161707687936,,,,59
60,1428802150327635968,,,,60
61,1428719063681880064,,,,61
62,1429082373065478144,,,,62
63,1428765457268547584,,,,63
64,1428827676614307840,,,,64
65,1428746581659070464,,,,65
66,1429104678969778176,,,,66
67,1428945303558922240,,,,67
68,1429109196730011648,,,,68
69,1428762557347676160,,,,69
70,1428752687017992192,,,,70
71,1429100065323421696,,,,71
72,1428662185459425280,Hämeenlinnassa,"(22, 36)","(24.46434, 60.99596)",72
73,1429032715366674432,,,,73
74,1428725514001428480,,,,74
75,1428956397459415040,,,,75
76,1428655408500051968,Englannin,"(0, 9)","(-0.70312, 52.16045)",76
77,1428690562740367360,,,,77
78,1428673970509914112,,,,78
79,1428979792523796480,Lappeenrannassa,"(51, 66)","(28.27839, 61.02292)",79
80,1429132484986368000,Afganistanissa,"(20, 34)","(66.0, 33.0)",80
80,1429132484986368000,Suomesta,"(49, 57)","(26.0, 64.0)",80
81,1428666217309556736,,,,81
82,1429123460886900736,,,,82
83,1428651291467726848,,,,83
84,1428677586243276800,,,,84
85,1428999385975754752,,,,85
86,1429103251669098496,Härmän käräjätalo,"(105, 122)",,86
87,1429024124219928576,,,,87
88,1428733167939334144,,,,88
89,1429144495321460736,Usassa,"(0, 6)","(-98.5, 39.76)",89
90,1428975166990786560,,,,90
91,1428956598576324608,,,,91
92,1429074950049128448,,,,92
93,1428931380335898624,Lappeenrannassa,"(0, 15)","(28.18871, 61.05871)",93
94,1428742121561993216,,,,94
95,1429054559624876032,,,,95
96,1429078949540290560,,,,96
97,1429025306514497536,,,,97
98,1429002028676788224,Suomesta,"(65, 73)","(26.0, 64.0)",98
99,1428990487340453888,,,,99
100,1428638553945300992,,,,100
101,1428642823964921856,,,,101
102,1428780268404490240,,,,102
103,1429095959024263168,,,,103
104,1429128971858464768,,,,104
105,1428752067934441472,,,,105
106,1429040772955873280,Hongkong,"(0, 8)","(114.17469, 22.27832)",106
106,1429040772955873280,Hongkongin,"(139, 149)","(114.17469, 22.27832)",106
107,1428636263343591424,Rauman,"(0, 6)","(21.51127, 61.12724)",107
107,1428636263343591424,rauma,"(185, 190)","(21.51127, 61.12724)",107
108,1429048299424784384,Suomen,"(174, 180)","(26.0, 64.0)",108
109,1429007063510814720,,,,109
110,1428686250484056064,,,,110
111,1429143476470521856,,,,111
112,1429087416061775872,,,,112
113,1429112756431728640,,,,113
114,1428785896074194944,,,,114
115,1429097017389854720,Turussa,"(31, 38)","(22.26869, 60.45148)",115
116,1428635949727158272,Tampereellakin,"(58, 72)","(23.78712, 61.49911)",116
117,1429103301581225984,Sydneyhin,"(231, 240)","(151.20732, -33.86785)",117
117,1429103301581225984,Melbourneen,"(241, 252)","(144.96332, -37.814)",117
118,1428621521405218816,,,,118
119,1428663659111276544,Afganistan,"(140, 150)","(66.0, 33.0)",119
119,1428663659111276544,USA:n,"(35, 40)","(-98.5, 39.76)",119
120,1428653609059766272,,,,120
121,1429101716293787648,,,,121
122,1428707782551908352,,,,122
123,1429076933636145152,Suomessa,"(0, 8)","(26.0, 64.0)",123
124,1429027486680158208,Tatarstanin,"(177, 188)","(51.0, 55.33333)",124
124,1429027486680158208,Bashkortostanin,"(192, 207)","(56.0, 54.0)",124
125,1429058088028487680,,,,125
126,1429020003102302208,Kainuun,"(29, 36)","(28.5, 64.5)",126
126,1429020003102302208,Kuhmossa,"(81, 89)","(29.75, 64.25)",126
126,1429020003102302208,Sotkamossa,"(93, 103)","(28.46283, 64.02497)",126
127,1428999411749769216,Afganistan,"(86, 96)","(66.0, 33.0)",127
128,1429100757035462656,,,,128
129,1428798400770809856,,,,129
130,1428976035673088000,suomessa,"(134, 142)","(26.0, 64.0)",130
131,1428993959829938176,,,,131
132,1428690393885982720,,,,132
133,1428950509226954752,Jääski,"(10, 16)","(28.92938, 61.04549)",133
133,1428950509226954752,Käkisalmi,"(20, 29)","(30.12907, 61.03928)",133
134,1428647107775315968,,,,134
135,1428632589569609728,,,,135
136,1429019125800701952,,,,136
137,1428792424646815744,,,,137
138,1428963989527138304,Iranin,"(71, 77)","(53.0, 32.0)",138
138,1428963989527138304,Iisalmeen,"(102, 111)","(27.1938, 63.51261)",138
138,1428963989527138304,Poroveden,"(112, 121)","(27.16667, 63.55)",138
139,1428653070746103808,,,,139
140,1428725288423337984,,,,140
141,1428633296213315584,Rovaniemellä,"(14, 26)","(25.95247, 66.60881)",141
142,1428640159650754560,,,,142
143,1428647838301396992,Afganistanin,"(55, 67)","(66.0, 33.0)",143
144,1428658315899269120,,,,144
145,1428805033097846784,,,,145
146,1428629209895874560,,,,146
147,1428942132652527616,,,,147
148,1428698188018552832,,,,148
149,1429142768803270656,,,,149
150,1428653251486945280,Suomessa,"(162, 170)","(26.0, 64.0)",150
150,1428653251486945280,Pohjanmaan,"(80, 90)","(25.0, 64.0)",150
151,1428682960249688064,Liettuan,"(21, 29)","(24.0, 55.41667)",151
151,1428682960249688064,Suomelle,"(72, 80)","(26.0, 64.0)",151
152,1428737344606195712,,,,152
153,1428700888785358848,,,,153
154,1428635378278354944,,,,154
155,1429035462690279424,Afganistanissa,"(14, 28)","(66.0, 33.0)",155
156,1428656167455182848,,,,156
157,1428769496957870080,Saksan,"(0, 6)","(10.5, 51.5)",157
157,1428769496957870080,Münchenissä,"(7, 18)","(11.57549, 48.13743)",157
